Kurenai,3.82892036,1.89699030,5.38839960,0.27762192,0.03078916,0.19834405,13.95006084,8.74294949,0.09754814,0.00317587,4.54384613,0.19625500,7.54404116,1.47967303,1.51303196,1.12270212,1.88501096,3.52846265,0.12774035,2.16973758,4.48087597,0.60252583,1.33636415,0.51269382,5.26111269,0.23035036,0.43451378,1.91431761,0.38970828,0.86390060,0.00000000,0.04590067,4.37643623,0.01688750,0.10109778,0.00008702,3.51763439,1.55165422,1.21511817,1.44286990,0.98642892,0.13887550,0.28766829,1.14022446,5.39287376,2.27223611,0.93553394,0.00016854,2.28101182,0.68890560,2.61697125,0.90233427,1.93390954,0.43239191,0.09334848,5.46782494,0.15475209,3.00095320,0.53653032,0.74824309,2.09075093,0.00045753,6.58068466,2.56321931,0.00000000,0.59470844,3.16246772,4.42189837,1.22769570,0.00000000,7.50129271,2.54390216,2.40259337,0.05426991,0.64289963,3.94528103,1.96810985,3.55030394,7.27342653,0.80516452,2.30038142,0.06700293,1.76660490,7.30138636,0.35849714,1.65925193,1.65569496,0.59112191,0.31716272,0.00000000,2.30622911,3.61394215,1.25714934,2.34583378,3.50500274,1.09755158,3.38893104,3.63648105,0.00268208,8.42410278
Tears,2.47441649,5.01457691,3.57894778,1.91888487,0.89417142,1.67244375,2.55598307,5.28536272,0.47236955,2.05831552,3.18435693,1.16088712,1.44176447,2.34104800,3.38937211,2.30775070,5.16123533,6.47949934,3.69382954,2.05139637,3.52865052,1.11939383,1.67409694,1.82674384,4.13942719,0.73703575,1.17595291,0.09495091,1.09024966,1.71575665,0.53586507,3.27005339,3.68781376,0.71101016,0.10460921,1.40981603,4.19630814,9.46958160,3.38688350,1.71071935,0.22331209,3.98128176,0.77618027,1.18685031,3.36790967,4.01161385,5.14442158,1.59908867,0.37067831,0.85355216,5.57514715,1.70992172,0.14823103,1.62024701,0.56782126,1.06380248,0.20821409,0.53107828,3.22204733,4.63192654,2.23922873,1.87714672,0.74102736,8.18326759,0.07569702,2.19150758,2.80227876,6.42455816,1.30221617,1.83504009,4.60840225,0.46012428,4.80316496,5.82508612,2.19698334,2.17820358,0.73069853,1.45493186,3.51188278,1.40240276,0.50919855,2.50620937,1.78913212,2.10258698,1.54652679,2.94133878,1.01468801,2.44932365,0.74234456,1.31476986,1.82956886,0.14096707,2.50434375,0.69972295,0.87114698,1.04083335,1.82308209,4.74985838,1.48335040,1.34032750
K_p4,4.43711662,1.79942667,5.78341961,0.48918363,0.16916658,0.02951832,14.01016712,8.20893002,0.18227819,0.19626592,4.17181969,0.10559886,8.67216492,1.71658111,2.22676945,2.06004977,2.79989386,2.57320523,0.48156655,0.99931651,4.37919998,0.41025633,1.44390702,0.42995137,4.08592606,0.24582274,0.34179312,2.36765480,0.15603085,0.50576973,0.05862009,0.25981432,5.35269022,0.01040052,0.10601175,0.08770548,4.21907997,1.96637177,0.72819680,1.91236019,1.08485651,0.30399713,0.39961249,1.28523719,5.86239195,3.26912975,0.60003597,0.09034108,2.52297854,0.91886228,1.38315964,0.44568706,2.31875253,0.58182395,0.00000000,5.23327875,0.21689841,3.71865940,0.54501837,0.29534400,1.13301957,0.00793125,6.77889681,2.45777464,0.01649739,0.26154345,3.28388047,6.50891066,0.46708429,0.00000000,8.71215630,2.35205793,2.82943940,0.23380068,0.96698773,2.33231497,1.36640799,4.23419476,5.97307825,0.31620750,2.24084854,0.02840174,1.53729427,5.93139172,0.39686444,2.03894901,2.16500044,0.27319315,0.24288945,0.00000000,2.36748934,3.26400733,0.72050935,1.32836127,4.83508444,1.00368917,3.51436496,3.72928596,0.10532458,9.20347118
Scars,3.68309307,1.71376562,6.96641207,0.33702630,0.01702355,0.38445681,10.83190060,6.16019249,0.03119525,0.57488257,4.48147154,0.00649803,10.54058552,1.53929782,1.67979157,2.84079909,5.62582970,2.09672046,0.79276699,0.45040599,4.47322655,0.11083264,1.44773901,2.01282549,3.62922931,0.55051148,1.23559213,2.85741878,0.00812339,0.45758581,0.00000000,0.41029721,7.24169922,0.00000000,0.04461090,0.21623671,5.26327038,1.60273170,0.00978167,1.08034384,0.26549765,0.00000000,0.20118400,2.28563094,7.61943483,4.94269466,0.32556793,0.83925092,2.56325769,0.99891460,1.96581280,0.34519082,2.56147575,0.47929257,0.00000000,4.02077103,0.04203341,1.49933660,1.99758255,0.55850309,0.37415335,0.01942478,7.43871641,1.82378447,0.01660983,0.19475125,3.58489513,9.13416576,0.16564029,0.09688126,9.83006191,1.83710480,2.45911241,0.26555067,0.72661126,2.74850154,1.37948215,2.85868049,4.05764818,0.04869473,2.46926713,0.09328221,0.86557174,4.08155966,0.54143792,3.33859682,2.46899152,0.11357064,0.00994859,0.00403119,2.04479647,3.32930684,1.39768994,0.89309257,5.21663284,1.47050369,2.33830523,4.15576458,0.13802169,11.91091919
BlueBlood,4.62637472,1.50906754,4.72064400,0.61749750,0.49106589,0.45864651,13.96027660,6.94696808,0.15260926,0.00425433,3.31624889,0.17034018,8.66341019,2.74035811,1.29581487,2.15501523,2.67008090,2.56602764,0.01475199,1.36584067,6.84313059,0.70577765,1.45773828,0.68008673,6.77145004,0.76160794,0.31499439,2.81453466,0.27428502,0.67369568,0.03912271,0.07090650,7.59809399,0.06853647,0.57570368,0.18596677,3.83803225,0.75676656,2.40724587,0.97339398,0.01092337,0.34420308,1.26738715,2.55432534,5.69627714,2.72067618,0.22267589,0.06431016,1.68136418,0.42859879,1.35888147,0.43958890,0.98993498,0.66585451,0.07525130,4.55664301,0.18131709,3.76503944,0.43705222,0.01337011,0.42808443,0.00000000,3.13437271,3.27003002,0.02132972,0.32381946,4.37118864,5.02134418,0.31045845,0.00000000,12.37165356,0.46218652,1.88449872,0.22148782,2.02271271,0.73267680,1.86324906,2.52705860,6.50040865,1.74372303,1.16205645,0.14460057,4.34769201,4.45184422,1.32808638,1.64072967,2.43070269,0.05539027,0.18134436,0.00000000,5.38544416,4.96813011,0.52406275,4.37047958,4.85934305,1.04598355,4.59016895,4.85104895,0.00000000,2.72898436
RustyNail,0.83242881,1.22988284,6.16679430,0.27070558,0.00140842,0.04164947,6.79798889,8.48030949,1.11534786,0.27179480,4.60455227,1.59127700,5.80277777,0.30892253,1.89804924,0.39545140,4.80799055,4.72938490,0.57899714,2.84793162,2.19377756,0.46850911,0.89189643,0.40365857,3.13928771,0.00000000,0.98495829,1.28870726,0.00000000,1.44154835,0.00000000,0.00067184,1.14169705,0.03344331,0.01950745,0.00703941,4.47771406,2.21367955,0.54819947,1.04208934,0.73134398,0.42070228,0.12482586,0.17054111,7.18740892,3.83737993,1.36523128,0.01817406,1.54033792,1.50489354,3.51404762,0.00000000,2.43999696,0.09243465,0.13934247,2.48977828,0.39253503,0.61724716,2.30038023,1.93581283,1.48767960,0.69920588,3.36886382,2.96098733,0.00000000,0.14816338,0.31049562,7.72633743,0.00000000,0.03399253,1.23338580,2.81554437,3.91722608,0.24006648,1.17144966,2.77054906,0.68954355,2.11712527,3.44002271,0.32331872,1.89317501,0.01322130,0.81817818,5.29622126,0.04897213,2.42757535,0.16083704,0.31679684,0.58367229,0.00000000,0.24210042,5.25324869,0.52665102,3.84473372,1.25743473,0.57544035,0.11058562,4.95254612,0.25395200,8.13650894
K_p3,3.33361936,1.59005630,5.50685978,0.28045449,0.02300507,0.17614572,12.52402973,8.78546715,0.13391751,0.05491772,4.22958565,0.04383043,9.86496353,1.75051880,1.68700659,1.65343249,2.72620296,2.56598878,0.16343930,0.25608256,3.76479554,0.28518447,1.20345044,0.02447123,5.55619717,0.04089476,0.45457596,3.21430445,0.01577034,0.22102298,0.00000000,0.02799887,5.24883461,0.00257507,0.07487339,0.00000000,3.41002798,2.07044077,1.09208047,1.25253189,0.84714431,0.01084354,0.28289187,1.63340199,5.27687597,3.03326869,0.60352355,0.01165115,2.53597665,1.02337217,0.97067750,0.77214080,2.19122887,0.08267064,0.01883213,4.43697309,0.24926257,3.10728645,0.77051771,0.44421780,1.78185773,0.00000000,7.48502350,1.99621022,0.00000000,0.23002708,2.44647956,5.81629229,0.68271559,0.00000000,9.09977531,2.03758502,2.92528772,0.04636019,0.74263108,2.88749051,1.59383154,3.16896367,4.75991154,0.67900872,2.33628964,0.17395353,1.13598657,6.07869530,0.10714499,1.97346735,1.76099241,0.36650252,0.15703203,0.00000000,1.84233594,3.79976916,0.14362389,1.18547595,4.44415283,0.76194370,2.42990088,3.51646495,0.01544546,10.16486835
K_p1,0.45463070,3.15778327,3.12935472,0.19294615,1.58011866,1.80430818,5.38726854,11.88720703,1.38744318,1.12676036,5.85731268,0.16932859,0.91716546,1.37832332,0.60944057,0.00000000,8.88417053,5.97987556,1.41790962,1.60687935,3.39084935,0.13321656,2.95489144,3.81867027,1.80653095,2.62361622,2.79479194,0.09293065,0.19486141,1.10111141,0.79781467,1.25675225,3.25878668,0.37281504,0.05668486,0.78819859,4.75217867,9.89476776,1.16347909,2.14891815,0.04650226,5.56026459,0.88686204,0.72834295,4.82090330,3.99379492,3.48609734,1.43590879,0.60506266,0.54806346,4.09032393,0.13106789,0.11718751,1.92302620,2.84577155,2.22475624,0.50227922,0.18305111,5.18267965,6.25047636,1.74700546,0.00331787,1.09511125,5.88834763,0.05252037,0.84145677,3.27764058,1.30307460,0.27452818,1.35990679,3.05357766,0.32135239,8.86440849,4.90919828,0.89636278,6.37849379,2.01464605,0.85114568,4.12271261,0.57160759,1.83970428,6.28636408,1.62639427,8.04735470,2.06125402,4.18343210,0.88760608,2.54646158,0.41358399,0.56623060,2.02911258,0.19277132,2.34762883,1.89728928,0.00566910,2.32861066,1.61306918,2.08270836,0.41519314,0.54168582
Alive,2.53438020,1.59491837,4.72636795,0.57824498,3.14255691,0.35254639,7.01060915,12.66620350,5.42537642,1.18257463,15.04558086,2.96739101,2.22772384,2.07261729,1.12410641,1.36331201,5.85138559,7.79388380,0.91326052,4.75755692,4.62040234,0.32002717,1.07958913,5.55712080,2.26980734,0.62914962,3.55345941,0.24383168,0.37173244,1.90729558,0.68425292,1.71849728,3.55904603,0.41895959,0.63578361,1.19218183,4.89305878,8.91378593,2.16061735,2.67707086,0.53050703,7.46772194,0.83790618,2.61538768,3.77363491,0.80841905,4.48396635,0.85090816,2.30083323,2.53462696,4.63103247,0.79743987,0.95315069,1.36586797,3.70411563,12.42163754,0.58295500,1.15599501,9.22499752,8.52174664,6.88301182,1.60910738,2.75501227,4.87523317,0.67248809,1.92363811,3.80206323,2.18356347,0.96007329,0.52330899,5.39736414,3.23780084,16.25421143,0.69948375,1.26954091,12.84382057,1.07870495,2.05714893,1.27696466,1.64942408,1.15919077,5.97744751,3.08207130,8.21542072,0.89769495,2.27717090,2.97554183,4.85452223,2.12497139,0.13848940,3.24210620,2.19213367,1.99817264,4.11649847,0.43583068,1.02506602,2.63001943,1.65227365,0.19300009,2.54986501
WeekEnd,4.11450481,3.78450489,7.27461386,1.73433566,0.01782994,0.53859484,9.89598942,5.18738604,0.29919189,4.13109303,4.97793055,1.30224144,8.36154461,2.81778336,3.34152532,6.16152811,2.91740990,2.14549279,1.31871784,0.25217274,5.64996576,0.42238656,1.75292158,3.55399919,4.76870680,2.41548872,2.10399771,2.80117297,0.17759903,0.44784221,0.57414114,2.48205996,8.23827934,0.05775594,0.06351618,0.10290837,5.47341061,2.93309927,0.62793624,0.05264469,1.42950737,0.07352064,0.36750901,2.36086130,7.15459585,4.72946978,0.42412010,2.05929279,1.54325485,1.21489727,2.33460808,2.49401474,1.24097836,1.64574432,0.00871685,4.82099485,0.16180627,2.83711290,1.63232040,1.49042797,1.82802320,0.03478624,5.12146473,4.03332806,0.03728724,1.17521799,5.29973412,5.54882193,0.79693502,0.76250690,10.37128162,1.23456597,3.32401872,1.69974649,0.91286492,3.13389874,3.05249619,4.18318081,4.79399490,1.75190365,3.21377659,0.20231833,0.46862358,2.77254534,1.11627114,3.10952640,2.81605244,0.22843707,0.32152808,0.49804482,0.65755725,3.06988549,3.43222284,0.56527531,5.09495783,2.07501245,1.60603249,3.39477968,1.03681195,6.57659245
WithoutYou,3.49620771,2.96074891,4.70885181,0.57737941,2.46940637,1.50974381,7.31989431,3.49606848,0.80864584,0.10337552,4.19178820,1.38002765,3.10399556,2.09147525,2.08058286,2.74649787,5.72317362,6.24362803,0.89843124,3.48588085,3.83184099,1.85396957,1.40165651,0.89672810,2.75359106,0.37976614,0.59820724,0.08458804,1.96345377,1.86656058,0.64522982,2.00013685,5.26632071,1.06942391,1.23164809,1.78738666,3.78646970,3.33797264,2.79367304,1.89893854,0.20013124,4.35957527,1.08314919,2.01227164,5.92319965,3.95499730,2.48411918,0.75930852,1.30826080,1.02807629,5.92374372,0.99719274,0.47183424,1.72619355,1.34549940,2.30235171,0.49230096,1.68567073,0.83108675,1.93569267,1.50885308,1.03520012,0.79209918,6.31030512,0.15950267,1.41900754,5.60000992,8.87663364,0.53544551,0.83458453,4.94720411,0.38676184,5.72789335,4.02189636,1.67801714,0.99202615,0.43124026,1.93398941,6.59037781,2.54794049,0.10575249,1.50389516,2.44383073,2.78290153,0.99005812,3.16332674,1.87523711,1.54755294,0.64124769,0.25786150,3.47891068,1.38026214,2.79475260,1.60883856,1.71255815,0.74699485,4.27565002,5.25402069,0.79819560,0.53161365
Longing,3.63218617,3.18856955,6.66693974,1.01248193,1.43160450,0.32555380,4.98291636,4.99758720,0.99383700,1.44110620,6.80875063,0.94378722,0.98576909,2.34794497,0.63863039,3.19761252,4.83832216,8.00285435,0.85865355,2.47280407,4.25019407,0.30148503,1.08979094,2.16078830,4.07003784,1.24365938,1.52525079,0.04190657,0.06305081,1.51609981,0.61174387,3.23816037,3.68328834,0.02474727,0.61603427,1.33699512,4.46690035,7.88668680,3.06686950,2.37337613,1.07816160,5.95961857,0.40357310,1.14666295,4.18056631,3.35857177,6.18605566,0.84639263,1.66833222,0.10984681,7.02030182,1.00702584,0.08281535,1.72859704,1.01333559,4.94140530,0.11509691,0.30037314,3.22640872,4.66157866,6.36148024,1.35704172,0.98058689,7.35295916,0.12437186,2.29261470,4.48086023,9.43017006,1.08102667,3.69026279,4.48764563,1.49677086,7.82662773,2.30711651,0.91980237,4.40468502,2.22180319,2.13126826,3.51539969,2.57602143,1.88037038,3.87906933,1.11281431,4.16091490,1.02024436,2.82454395,1.76123989,4.51895285,2.13604569,0.36395806,1.60260439,0.08086024,4.40785456,0.22668700,0.47160435,1.73284423,1.81198239,5.70016289,0.82174796,1.07976615
